購買比率	Purchase Rate	구매 비율
外部人可進場	Allow Outsiders	외부인 입장 가능
公會情報	Guild Info	길드 정보
保管箱	Storage	보관함
戰爭	Wars	전쟁
領地戰	Territory Wars	콜로니전
傳達數量	Sending	전달 개수
殘餘數量	Remaining	잔여 개수
數量	Amount	수량
隧伍名稱	Team Name	팀 이름
分流 / 位置	Ch / Location	채널 / 위치
照換	Summon	소환
移動到公會成員	To Guild Member	길드원에게 가기
移動	Go	가기
加入	Join	가입
上一頁	Previous Page	이전 페이지
下一頁	Next Page	다음 페이지
檢索輸入的 ID。	Enter the ID to search	입력한 ID를 검색합니다
關閉名譽殿堂。	Close the Hall of Fame	명예의 전당을 닫습니다
輸入要檢索的 ID。	Enter the ID to search	검색할 ID를 입력합니다
生命時間	Duration	생명시간
名稱/位置	Name/Location	이름/위치
入場等級	Entry Level	입장레벨
入場次數	Entry Count	입장 횟수
倍數模式套用個數	Multiply Mode Number	배수모드 적용 개수
進入副本	Enter Dungeon	던전 입장
代表登場怪物	Main Monster	대표 등장 몬스터
獲得道具	Acquired Item	획득 아이템
地下城名稱	Name	던전 이름
代表獲得道具	Main Drop Items	대표 획득 아이템
副本掃盪卷{/}	Instance Clear Voucher	인스턴스 던전 소탕권{/}
注意事項	Warning	주의사항
伺服器	Server	서버
角色名稱	Character Name	캐릭터명
事由	Reason	사유
副本達成率	Achievement Rate	인던 달성률
請輸入數量。	Please enter a quantity	수량을 입력하세요
序曲	Intro	인트로
重量	Weight	무게
招牌名稱	Signboard Title	간판 제목
單一價格	Unit Price	개당 가격
怪物體力量條	Monster HP Bar	몬스터 체력게이지
重新鑑定道具	Item Re-Identification	아이템 재감정
重新鑑定	Re-Identify Item	재감정 하기
鍵盤戰士	Keyboard Warrior	키보드 워리어
擊殺	Kills	킬
99分 99秒	99 minutes 99 seconds	99분 99초
總分	Total Score	총 점수
38000 分	38000 points	38000 점
已提升的神速藥水	Enhanced Speed Potion	향상된 신속의 물약
道具超越	Transcend Item	아이템 초월
超越	Transcendence	초월
萃取受祝福的碎片	Extract Blessed Shard	축복받은 조각 추출
受祝福的碎片萃取結果	Blessed Shard Extraction Result	축복받은 조각 추출 결과
道具萃取	Extract Item	아이템 추출
道具萃取結果	Item Extraction Results	아이템 추출 결과
搖桿快捷鍵	Controller Quick Slot	조이스틱 퀵슬롯
搖桿休息快捷鍵	Controller Rest Quickslot	조이스틱 휴식 퀵슬롯
遊戲搖桿新手教學	Controller Tutorial	조이패드 튜토리얼
鍵盤新手教學	Keyboard Tutorial	키보드 튜토리얼
動作	Action	액션
重置預設值	Restore defaults	기본값 복원
魔方名稱	Cube Name	큐브 이름이다
咒語力	Spell Power	주문력
魔法扺抗力	Magic Resistance	마법저항력
暴擊率	Critical Attack Rate	치명타율
潛力	Potential	포텐셜
地區地圖	Area Map	지역 지도
攻城戰硬幣	Siege Coin	공성전 코인
職業名稱	Job Name	직업이름
迷你遊戲	Minigame	미니게임
任務失敗	Mission Failed	미션 실패
開啟活動Banner。	Open Event Banner	이벤트 배너를 엽니다
對象	Object	대상
滑鼠新手教學	Mouse Tutorial	마우스 튜토리얼
周邊組隊情報	Nearby Party Info	주변 파티 정보
碎片數量	Number of Fragments	파편의 개수
道具通知	Item Alarm	아이템알림
製造新手教學	How to Play	조작 튜토리얼
支付金額	Payment	지급 금액
預估收益	Estimated Profit	예상 수익
奉獻	Offer	봉헌하기
交易結算	Settle Transaction	거래 정산
預估餘額	Estimated Balance	예상 잔액
TP儲值	Purchase TP	TP충전
地圖霧化工具	Fog Map Tool	맵 포그 툴
怪物處死工具	Tool for killing monsters	몬스터 죽이기 툴
迷你地圖製作工具	Tool for making a mini-map	미니맵 만들기 툴
對話工具	Dialogue tool	다이얼로그 툴
各自獲得	Individual EXP	각자얻기
平均分配	Equal EXP	균등분배
等級差異	By Level	레벨차등
不使用	Disabled	사용안함
顯示周邊組隊情報	Show Nearby Parties	주변 파티 정보 표시
使用尋找隊員功能	Use Search Party 	파티원 찾기 기능 사용
登錄於公開組隊目錄	Public Party	공개 파티 목록에 등록
任務進行	Questing	퀘스트 진행
狩獵中心	Hunting	사냥 중심
活動進行	Events	이벤트 진행
無關係	Any	관계없음
使用隊員推薦功能	Use 'Recommend Party'	파티원 추천 기능 사용
根據距離	By Distance	거리에 의해
根據職業	By Class	직업에 의해
根據等級	By Level	레벨에 의해
根據進行任務	By Quest	진행 퀘스트에 의해
根據交情	By Closeness	친분에 의해
競爭任務	Competitive Mission	경쟁 미션
單位	Unit	단위
使用檢索選項	Use Search	검색 옵션 사용
任務共有	Quest Sharing	퀘스트 공유
經驗值分配規則	EXP Distribution	경험치 분배규칙
道具分配規則	Item Distribution	아이템 분배규칙
輸入規則名稱。	Enter a name for the rule	규칙의 이름을 입력합니다
登錄規則。	Register Rules	규칙을 등록합니다
取消作業。	Cancel Action	작업을 취소합니다
委託購買	Request Buy-in	매입의뢰
親密度	Friendship	친밀도
壽命	Life	수명
小幫手標題	Help Topics	도움말 제목
簡易小幫手內容	Simple Help Details	심플 도움말내용
毒製造用材料道具	Materials for Poison	독 제조용 재료 아이템
任務完成	Mission Complete	임무 완료
任務進行情報	Mission Progress Info	임무 진행 정보
使用任務道具	Use quest item	퀘스트 아이템 사용
任務提示	Quest Hint	퀘스트 힌트
您要返回到那一個任務？	Which quest would you like to go back to?	어떤 퀘스트로 돌아가시겠습니까?
shadow_box 暫時移除	shadow_box tentativeremoval	shadow_box 잠정제거
您要使用職業重置道具嗎？{/}	Use the Rank Reset Voucher?	랭크 초기화 아이템을 사용하시겠습니까?{/}
您要使用代幣來交換上面那個道具嗎？	Do you wish to spend medals for the items?	메달을 위 아이템으로 교환하시겠습니까?
您要用此道具來交換代幣嗎？	Do you wish to exchange the item for medal?	해당 아이템을 메달로 교환하시겠습니까?
  穿戴裝備  	Equipped Equipment	  착용장비  
  所持裝備  	Equipment in the Inventory	  소지장비  
選擇全體	Select All	전체선택
復活聖所(70031)	Sanctuary of Resurrection (70031)	부활의 성소(70031)
休息快捷欄	Rest Quickslot	휴식 퀵슬롯
剩餘參加時間	Time remaining	남은 참가 시간
隨機獲得	Acquire random	랜덤 획득
臨時名稱	Temporary Name	임시이름
請選擇道具。	Please select an item	아이템을 선택해주세요
製作費用	Crafting costs	제작 비용
製作數量	Crafting Number	제작 개수
큘레릭	Cleric	큘레릭
顯示職業	Show Class	직업 출력
顯示角色名稱	Show Character Name	캐릭터 이름 출력
PC名稱	PC Name	PC이름
systemmenu_vertical 暫時移除	systemmenu_vertical tentative removal	systemmenu_vertical 잠정제거
小幫手(F1)	Help (F1)	도움말(F1)
內容	Contents	내용
詳細查看	View Details	상세보기
目標BUFF視窗	Target buff window	타겟버프창
隊伍情報	Team Info	팀 정보
能力值	Stat	능력치
請輸入數量。	Please enter a quantity	개수를 입력하세요.
購物車 TP	Shopping Bag TP	장바구니 TP
購物車代幣	Medal Price	장바구니 메달
用保有中的道具交換代幣	Exchange items for medals	보유중인 아이템을 메달로 교환
用持有中的袋幣交換道具	Exchange medals for items	보유중인 메달을 아이템으로 교환
可購買目錄	Buyables	구매가능 목록
可販賣目錄	Sellables	판매가능 목록
 TP 購買	 TP Purchaseable	 TP 구매
販賣道具 (禮包) 名稱	Name of (Package) being sold	판매 아이템 (패키지) 이름
以其他人視角觀戰	Spectate another character	다른사람 시점으로 관전하기
藍隊	Blue Team	블루팀
紅隊	Red Team	레드팀
查看玩家視角	View from the Player's POV	플레이어 시점 보기
結果	Results	결과
死亡	Deaths	데스
傷害量	Damage	피해량
怪物名稱檢索後輸入	Search monster name and press Enter	몬스터 이름 검색 후 엔터
要追加的量(count)	Qtt to add (count)	추가할 양(count)
道具名稱檢索後輸入	Search item name and press Enter	아이템 이름 검색 후 엔터
要製作的道具名稱檢索後輸入	Search item to craft and press Enter	제작할 아이템 이름 검색 후 엔터
副本名稱檢索後輸入	Search instanced dungeon name and press Enter	인던 이름 검색 후 엔터
台詞清單	Dialog list	대사 리스트
檢索	Search	검색.
要儲存的群組名稱	The name of the group to save	저장할 그룹의 이름
filtering	Filtering	필터링
職業清單	Class List	클래스리스트
套用於XML	Apply to XML	XML에 적용
輸入檢索語。	Enter a keyword to search	검색어를 입력합니다.
所有屬性值	All attribute values	모든 속성 값
流氓	Rogue	로그
職業清單	Class list	클래스 리스트
XML變換	XML Conversion	XML변환
開啟資料夾	Open Folder	폴더열기
全部確認	Check All	전체체크
歷史記錄	History	히스토리
值回溯	Rollback Value	값롤백
輸入要檢索的名稱。	Enter the name you want to search	검색할 이름을 입력합니다.
輸入要檢索的任務名稱。	Enter quest name to search	검색할 퀘스트 이름을 입력합니다.
輸入要檢索的地圖名稱。	Enter map name to search	검색할 맵의 이름을 입력합니다.
{ol}數量	Number	{ol}개수
systemmenu_vertical 暫時刪除	Provisional Delete	systemmenu_vertical 잠정삭제
住處變更	Change Lodge	숙소 변경
選擇角色	Change Character	캐릭터선택
總角色	All Characters	총 캐릭터
loading背景	Loading background	로딩 배경
Tip	Tip	팁
遊戲Tip	Game Tips	게임팁
登入	Login	로그인
帳號	Account ID	계정
儲存	Save	저장
伺服器目錄	Server List	서버 목록
登入標題	Login Title	로그인타이틀
選項	Options	옵션
視野距離	Visibility Range	시야거리
陰影	Shadow	섀도우
使用陰影地圖	Enable Shadow Mapping	섀도우맵 사용
SSAO 使用	SSAO Use	SSAO 사용
水波紋	Water Reflection	물반사
角色水波紋	Characters Water Reflection	캐릭터 물반사
背景水波紋	Background Water Reflection	배경 물반사
Glow 使用	Enable Glow	Glow 사용
角色情報	Character Information	캐릭터정보
道具生成 UI	UI of Item Creation	아이템 생성 UI
紅武門	Hong Moo Moon	홍무문
大都川	Dae Do Cheon	대도천
話禪圖	Fire Swords	화선도
榮華極善宗	For adenomas hwageuk	용화극선종
天子城	Puncture sex	천자성
蓮花橋	Yeonhwagyo	연화교
男	Male	남
女	Female	여
調整頭部	Hair Adjustment	머리 조절
調整身高	Key Adjustment	키 조절
肩寬	Shoulder Width	어깨 넓이
手腳尺寸	Hand and Foot size	손, 발 크기
胸部尺寸	Chest Size	가슴 사이즈
腰圍尺寸	Waist Size	허리 사이즈
骨盆尺寸	Hip Size	골반 사이즈
預設值	Use Pre-set	미리설정값
任意設定值	Randomize	임의설정값
新人物生成	Create New Character	신규 인물 생성
取消人物生成	Cancel Character Creation	인물 생성 취소
客制化道具frame	Customized Item frame	커스터마이즈 아이템 프레임
綠色	Green	녹색
密度	Density	밀도
基本內容名稱	Basic content name	기본 콘텐츠 이름
基本群組名稱	Basic group name	기본 그룹 이름
基本道具名稱	Basic item name	기본 아이템 이름
商店	Shop	상점
個人	Personal	개인
交易{nl} 選項	Tradability	거래{nl} 옵션
裝備中	Equipped	착용중
不可強化	Cannot enhance	강화 불가
1分30秒	1m30s	1분30초
日時分秒	Day Hour Minute Second	일시분초
多少	How much	얼마
다이야	Diamond	다이야
相片說明	Image Description	사진에 대한 설명
地板型	Carpet-type	장판형
地區名稱	Region Name	지역이름
角色名字	Character Name	케릭터 이름
角色等級	Character Level	케릭터 레벨
角色紙條	Character Memo	케릭터 메모
已登錄於冒險日誌。	Adventure Journal Updated	모험일지에 등록되었습니다.
任務用選單物件	Menu Objects for Quest	퀘스트용 메뉴오브젝트
任務的種類	Quest Categories	퀘스트의 카테고리
任務的清單物件	Quest Object List	퀘스트의 리스트 오브젝트
路線圖上使用的line	Line used on the roadmap	로드맵에서 사용하는 라인
欄位物件_一般用	Slot Object_Standard	슬롯 오브젝트_일반용
欄位物件_現金欄位	Slot Object_Cash Slot	슬롯 오브젝트_캐시슬롯
角色詳細情報類型1	Character Details Type 1	캐릭터 상세 정보 타입1
角色詳細情報類型2	Character Details Type 2	캐릭터 상세 정보 타입2
背包清單類型1	Inventory List Type 1	인벤토리 리스트 타입1
背包清單類型2	Inventory List Type 2	인벤토리 리스트 타입2
背包欄位類型	Inventory Slot Type	인벤토리 슬롯 타입
在市場查看道具_詳細	View item details on the Market	마켓에서 아이템 보기_디테일
道具名稱顯示	Output of Item Name	아이템 이름 출력
顯示剩下的數量	Output of the number of remaining	남아 있는 개수를 출력
顯示值	Output of Value	값을 출력
裝在購物車時	When you add it to cart	카트에 담았을 때
顯示總金額	Output of total value	총합을 출력
道具顯示用	For item output	아이템 출력용
顯示單價	Output of unit price	단가출력
道具種類	Item category	아이템 카테고리
新消息	News	새 소식
99 階	99 Circle	99 서클
提供 TP	Given TP	지급 TP
不可交易	Untradable	거래 불가
日時分	Days/Hours/Minutes	일시분
消費代幣	Medal Consumed	소비 메달
獲得代幣	Medal Obtained	획득 메달
組隊愉快嗎？	Did you have a good time with this party?	파티는 즐거우셨나요?
目前	Current	현재
條件	Conditions	조건
需要點數	Required Points	필요 포인트
消滅布貝刀斧手8隻	Defeat 8 Mad Vubbe	부베 망나니 8마리 처치
Tool tip	Tooltip	툴팁
見習生劍	Apprentice Sword	어프렌티스 소드
- [副線] 荊棘林	[Sub]Thron Forest	- [서브] 가시숲
比賽結束	End Game	경기 종료
剩餘數量	Amount Left	남은개수
邀請你來到幸福的國家。	Come to the merry kingdom	행복한 나라로 오세요
隊伍戰鬥聯盟日程	Team Battle League Schedule	팀 배틀 리그 일정
最近戰績	Recent Records	최근 전적
搜尋要購買的道具	Search for items to buy	구입할 아이템 검색
購買數量	Quantity	구매수량
單一價格	Unit Price	개당가격
暱稱及職業	Name & Class	이름 및 클래스
最近開啟的觀看目錄	View Recent History	최근 열린 관람 목록
觀看	Spectate	관전하기
[伺服器] 公會名稱	[Server] Guild Name	[서버] 길드명
戰績 / 分數	Record / Score	전적 / 점수
參與隊伍戰鬥聯盟	Join Team Battle League	팀 배틀 리그 참여
公會名稱和介紹	Guild Name & Description	길드명과 소개글
公會權限	Guild Authority	길드 권한
隊伍名稱	Team Name	팀이름
職責	Title	직책
只顯示連線中的成員	Show Online	접속인원만 보기
塔持有目錄	Available Tower	타워 보유 목록
公會戰鬥排行	GvG Ranks	길드 배틀 랭킹
公會基地入場	Hangout Entry	아지트 입장
公會成長	Upgrade Guild	길드 성장
貢獻度排行	Contribution Rank	기여도 랭크
公會特性及情報	Guild Attributes & Info	길드 특성 및 정보
地圖名稱	Map name	맵이름
未習得	Unlearned	미습득
* 對戰時	* When battling	* 대전 시
魔法防禦手環	Magic Defense Bracelet	마법방어 팔찌
我的道具	My Item	내 아이템
道具名	Item	아이템명
時間到期	Expiration Date	기간만료
文本	Text	텍스트
地圖	Maps	맵
類型	Type	타입
道具類型	Item Type	아이템 타입
最近獲得的方法	Latest Acquisition	가장 최근에 획득한 방법
獲得處	Location	획득처
商店名	Shop Name	상점명
營收	Sales	매출
特性名	Attribute	특성명
魚名	Fish Name	물고기 이름
地域名稱	Area	지역 네임
地圖名稱	Map	맵네임
名字	Name	이름이다
任務名稱	Quest	퀘스트이름
稱號名稱	Title	칭호이름
獎勵道具	Reward	보상템
windows	Windows	윈도우
狀態	Status	스테이더스
分頁	Tab	탭
圖片道具	Image Item	이미지아이템
效果	Effect	이펙트
控制裝置	Control Set	컨트롤셋
優惠	Benefits	혜택
立即領取市場販賣款項	Market silver instantly retrievable	마켓 판매금 즉시 수령
可使用隊伍倉庫	Movable via Team Storage	팀 창고 이용 가능
莎勒斯修女任務完成獎勵 +1	Additional +1 reward from Saalus Missions	살러스 수녀원 미션 완료 보상 +1
遠征隊地下城進場道具消耗數量 -2	Raid Dungeon Entry Item Consume Quantity -2	레이드 던전 입장 아이템 소모 개수 -2
投資	Investment	투자
預設	Default	디폴트
解除中立通知	Neutral Cancel Alert	중립 해제 알림
職級	Roles	직급
權限	Authorities	권한
角色數	Total Characters	캐릭터 수
注意事項	Important	유의사항
基地可讓外人進入	Allow Outsiders	아지트 외부인 입장 가능
公開公會宣傳	Promote Guild	길드 홍보 공개
橫向 1024, 直向 768~3840	1024 in width and 768-3840 in length	가로 1024, 세로 768~3840
就算沒有傳達的話	Message	전하는 말
邀請日	Date	요청일
已讀狀態	Status	읽음 상태
配戴血晶	Equip Ichor	아이커 장착
配戴	Equip	장착
萃取工具	Extraction Kit	추출 키트
萃取血晶	Extract Ichor	아이커 추출
萃取	Extract	추출
分解傳說道具	Dismantle Legend Item	레전드 아이템 분해
分解	Dismantle	분해
賦予套裝屬性	Apply Set Stats	세트 옵션 부여
機率型訊息	Probability Message	확률형 메세지
角色名稱 隊伍名稱	CharacterName TeamName	캐릭터이름 팀이름
不可超越	Cannot transcend	초월 불가
不可萃取	Cannot extract	추출 불가
不可鑲嵌萃取	Cannot extract sockets	소켓 추출 불가
主武器	Main Weapon	주무기
盔甲	Armor	갑옷
褲子	Bottom	바지
交換	Exchange	교환
角色數	Total Characters 	캐릭터 수 
使其加入	I want to join	가입시켜주세요
角色職業	Character Class	캐릭터 직업
角色貢獻	Character Contribution	캐릭터 기여
隊伍倉庫增加 +30格	Team Storage Slots +30	팀 창고 +30칸 증가
只查看可配戴的物品	View only equipable items	착용 가능한 물품만 보기
選擇顏色	Select Color	컬러 선택
試穿目錄	Now Wearing	입어보기 목록
用stamp交換道具	Exchange Stamps	스탬프로 아이템 교환
開設覺醒商店	Awakening Shop	각성 상점 개설
材料名稱	Material	재료이름
匠人放大鏡	Artisan Magnifier	장인의 돋보기
重新鑑定	Re-identify	재감정
神秘放大鏡	Mysterious Magnifier	신비한 돋보기
購買數量	Quantity	구매 수량
排名名稱	Ranking	랭킹 이름
貝勒尼凱的碎片排名	Remnants of Bernice Ranking	베르니케의 파편 순위
公會名稱	Guild Name	길드명
職業樹	Class Tree	직업 트리
最高關卡	Highest Stage	최고 스테이지
消滅怪物數量	Monster Kills	몬스터 처치 수
假髮染色	Wig Dye	가발 염색
持有數量	Current Qtt	소지 개수
視角固定	Fixed Camera	카메라 고정
解除視角固定	Cancel Fixed Camera	카메라 고정 해제
美髮店開啟(女)	Open Hair Shop (F)	헤어샵 열기(여)
美髮店開啟(男)	Open Hair Shop (M)	헤어샵 열기(남)
美髮店目錄(女)	Hair Shop List (F)	헤어샵 목록(여)
美髮店目錄(男)	Hair Shop List (M)	헤어샵 목록(남)
配戴預覽_ALL	Equip Preview_ALL	미리보기 장착_ALL
配戴預覽_Hair	Equip Preview_Hair	미리보기 장착_Hair
配戴預覽_Costume	Equip Preview_Costume	미리보기 장착_Costume
套裝商店開啟(女)	Open Costume Shop (F)	코스튬샵 열기(여)
套裝商店開啟(男)	Open Costume Shop (M)	코스튬샵 열기(남)
套裝商店目錄(女)	Costume Shop List (F)	코스튬샵 목록(여)
套裝商店目錄(男)	Costume Shop List (M)	코스튬샵 목록(남)
簡化目錄開啟	Open Simple List	간소화 목록 열기
簡化目錄道具設定	Simple List Item Settings	간소화 목록 아이템 설정
假髮商店開啟(女)	Open Wig Shop (F)	가발샵 열기(여)
假髮商店開啟(男)	Open Wig Shop (M)	가발샵 열기(남)
假髮商店目錄(女)	Wig Shop List (F)	가발샵 목록(여)
假髮商店目錄(男)	Wig Shop List (M)	가발샵 목록(남)
其它商店開啟	Open Others	기타샵 열기
其它商店目錄	Others List	기타샵 목록
購買測試	Purchase Test	구매 테스트
不能外觀變更	Cannot transfer appearance	외형 변경 불가
預覽	Preview	미리보기
持有的道具	Current Items	소지 중인 아이템
畫面	Screen	화면
連線通知顯示	See login alerts	접속 알림 표시
戰鬥訊息設定	Combat message settings	전투 메시지 설정
受到的傷害	Damage taken	입은 피해
給予的傷害	Damage dealt	가한 피해
技能使用	Skill use	스킬 사용
死亡/復活	Death/respawn	사망/부활
組隊員的死亡/復活	Party death/respawn	파티원의 사망/부활
佔領日	Seizing Date	점령일
佔領獎勵	Victory Rewards	점령 보상
您要領取所有道具嗎？	Retrieve all items?	아이템을 모두 수령하겠습니까?
連線情報	Login Rewards	접속 보상
可購買目錄	Items Available	구입가능 목록
可租借的目錄	Items for Rental	대여가능 목록
服務條款	Terms and Conditions	약관 안내
 您要使用{nl}道具嗎？{/}	 Use item?	 아이템을{nl} 사용하시겠습니까?{/}
開啟移動的插圖	Enable Animated Illustrations	움직이는 일러스트 켜기
不可交易	Untradable	거래불가
重置	Reset	리셋
儲存名稱	Save Name	저장 이름
交易限度	Trade Limit	거래 한도
附魔寶石	Enchant Jewels	인챈트 쥬얼
附魔屬性賦予	Enchant Stats	인챈트 옵션 부여
使用道具	Used Items	사용 아이템
等級範圍	Level Range	레벨 범위
一般	Normal	노멀
道具檢索	Search Item	아이템 검색
只查看未鑑定道具	Show only unidentified items	미감정 아이템만 보기
查看未鑑定之外的道具	Hide unidentified items	미감정 아이템 제외해서 보기
詳細設定	Advanced Settings	세부 설정
數值範圍	Value	수치 범위
選項群組	Stat Group	옵션 그룹
道具等級	Item Level	아이템 레벨
製作等級	Roast Level	로스팅 레벨
選項刪除	Delete Stat	옵션 삭제
設定儲存名稱	Settings Save Name	설정 저장 이름
刪除設定	Delete Settings	설정 삭제
交易等級說明	Trade Grade	거래 등급 안내
