委託石	Stone of Requests	의뢰석
為了國民和盾牌的劍[高地戰士轉職]	A Sword and Shield for the People [Highlander Advancement]	국민과 방패를 위한 검[하이랜더 전직]
飛禽的妨礙[輕裝步兵轉職]	Disturbance of the Winged Beast [Peltasta Advancement]	날짐승의 방해[펠타스타 전직]
第一支箭[弓箭手轉職]	The First Arrow [Archer Advancement]	첫 번째 화살[아처 전직]
在大教堂的懺悔路收集品質很好的磨刀石	Gather Charcoal Stones from Penitence Route	대성당 참회로에서 질 좋은 숫돌 모아오기
治療師之路[牧師轉職]	Path of the Healer [Cleric Advancement]	치유사의 길[클레릭 전직]
永遠的敬拜[聖火祭司轉職]	Eternal Worship [Krivis Advancement]	영원한 경배[크리비 전직]
和突然出現的劍士大師對話	Suddenly appeared Swordsman master and conversation	갑자기 나타난 소드맨 마스터와 대화
發現隱藏任務	Hidden Quest occurrence	히든 퀘스트 발생
消滅報喪女妖	Banshee treatment	밴시 처치
和突然出現的法師大師對話	Suddenly appeared wizard master and conversation	갑자기 나타난 위저드 마스터와 대화
拜訪法師大師	Find Wizard Master	위저드 마스터 찾아가기
和突然出現的弓箭手大師對話	Archer Master and conversation that appeared suddenly	갑자기 나타난 아처 마스터와 대화
和突然出現的牧師大師對話	Cleric master and conversation that appeared suddenly	갑자기 나타난 클레릭 마스터와 대화
在大教堂中尋找大理石雕像	Available from the Cathedral of marble sculpture	대성당에서 대리석 조각 구하기
將大理石雕像轉交給雕刻家泰斯拉	Marble sculpture transferred to the sculptor Tesla	조각가 테슬라에게 대리석 조각 전달
確認前往第1保管倉庫路上的秘密裝置	Check the Secret Device on the way to Supply Depot Number 1	제1 보관창고로 가는 길에 있는 비밀 장치 확인
破壞秘密裝置周邊出現的冰結水晶	Destroy the Ice Crystals that appeared next to the Secret Device	비밀 장치 주변에 나타난 빙결 수정 파괴
外城壁核心回收作戰	Operation Outter Wall Core Retrieval	외성벽 코어 회수 작전
和奎波爾密爾達對話	Talk to Kupole Milda	큐폴 밀다와 대화
奎波爾密爾達說核心有多重保護，而且怪物多又具攻擊性，這件事不太容易處理。為了安全的調查，請消滅周圍的怪物。	Kupole Milda says that the core is heavily protected by several means and monsters are large in number	큐폴 밀다는 코어가 다중으로 보호되고 있는 데다 어쩐지 몬스터들이 많고 공격적이어서 일이 쉽지 않다고 합니다. 안전한 조사를 위해 주변의 몬스터를 처치하세요.
消滅外城壁第9區域的怪物	Defeat Monsters in the Outter Wall District 9	외성벽 제 9구역의 몬스터 처치
跟奎波爾密爾達報告	Report to Kupole Milda	큐폴 밀다에게 보고
前來挖掘聖物	Excavate the sacred object	성물 발굴해 오기
消滅樹林巨獸哥布林	Defeat Giant Wood Goblin	자이언트 우드 고블린 처치
