輕裝步兵大師	Peltasta Master	펠타스타 마스터
以後再說	I'll wish for it next time	나중을 기약한다
宗教任務[聖火祭司轉職]	Religious Mission [Krivis Advancement]	종단임무[크리비 전직]
我會奉獻祈禱	I'll offer prayers	봉헌 기도를 올리겠다고 한다
現場過濾[劍士轉職]	The Origin of Physique [Swordsman Advancement]	현장 체질[소드맨 전직]
詢問可以獲得覺醒的方法。	How do you receive enlightenment?	깨달음을 얻을 수 있는 방법에 대해 묻는다
以後再來找你	I will come back later	나중에 다시 찾아 오겠다고 한다
驅魔錄[聖水祭司轉職]	Exorcism [Priest Advancement]	퇴마록[프리스트 전직]
我要驅魔	I will perform the exorcism	퇴마를 행하겠다 한다
努力不會背叛[法師轉職](1)	Hard Work does not Betray [Wizard Advancement] (1)	노력은 배신하지 않는다[위저드 전직](1)
我要幫助研究	I'll help with the research	연구를 돕겠다고 한다
努力不會背叛[法師轉職](2)	Hard Work does not Betray [Wizard Advancement] (2)	노력은 배신하지 않는다[위저드 전직](2)
我去使用資料累積用卷軸後再回來	I will go and use the scroll to collect data	자료 축적용 스크롤을 사용하고 오겠다고 한다
完美的聖水[牧師轉職](1)	Perfect Holy water [Cleric Advancement] (1)	완벽한 성수[클레릭 전직](1)
我要治療病患	I'll treat the patients	환자를 치료하겠다고 한다
完美的聖水[牧師轉職](2)	Perfect Holy water [Cleric Advancement] (2)	완벽한 성수[클레릭 전직](2)
矛刃上的幸運[重裝步兵轉職]	Luck of the Spear Blades [Hoplite Advancement]	창날 위에 선 행운[하플라이트 전직]
我同意	I agree	동의한다고 한다
我不同意	I disagree	동의하지 않는다고 한다
倒楣的魔族[念力法師轉職]	Unfortunate Demon [Psychokino Advancement]	불운한 마족[사이코키노 전직]
造箭者的秘訣[弩箭手轉職](1)	Secret of the Fletchers [Quarrel Shooter Advancement] (1)	플레쳐의 비법[쿼렐슈터 전직](1)
造箭者的秘訣[弩箭手轉職](2)	Secret of the Fletchers [Quarrel Shooter Advancement] (2)	플레쳐의 비법[쿼렐슈터 전직](2)
告訴我你看見地圖的地方	Tell me where you saw the map	지도를 본 곳을 알려달라고 한다
佩迪米安的互補者[弓箭手轉職](1)	Fedimian Completionist [Archer Advancement] (1)	페디미안의 보완자[아처 전직](1)
我去找圓盾劍士大師	I'll go and find the Rodelero Master	로델레로 마스터를 찾아 가겠다고 한다
佩迪米安的互補者[弓箭手轉職](2)	Fedimian Completionist [Archer Advancement] (2)	페디미안의 보완자[아처 전직](2)
我會消滅他	I will defeat it	처치하겠다고 한다
好像太危險了	It sounds too dangerous	너무 위험한 것 같다고 한다
佩迪米安的互補者[弓箭手轉職](3)	Fedimian Completionist [Archer Advancement] (3)	페디미안의 보완자[아처 전직](3)
佩迪米安探訪者[遊俠轉職](1)	Investigator of Fedimian [Ranger Advancement] (1)	페디미안의 탐문자[레인저 전직](1)
會去見佩迪米安的侍從大師	I'll go to the Squire Master in Fedimian	페디미안의 스콰이어 마스터를 찾아 가겠다고 한다
佩迪米安探訪者[遊俠轉職](2)	Investigator of Fedimian [Ranger Advancement] (2)	페디미안의 탐문자[레인저 전직](2)
詢問告知的位置。	Where?	알려준 위치를 묻는다
謹慎行動[工兵轉職](1)	Careful Move [Sapper Advancement](1)	조심스런 행보[새퍼 전직](1)
我幫你取得需要的材料	Get the materials needed	필요한 재료를 구해다 준다
謹慎行動[工兵轉職](2)	Careful Move [Sapper Advancement](2)	조심스런 행보[새퍼 전직](2)
我去進行測試再回來	I will go and do the test	테스트를 해 보고 오겠다고 한다
隱藏的卡片[邪靈祭司轉職]	Hidden Card [Bokor Advancement]	숨은 카드[보코르 전직]
我要去收集卡片	I'll collect the cards	카드를 모아 오겠다고 한다
尋找模特兒[雕刻師轉職](1)	Finding the Model [Dievdirbys Advancement] (1)	모델 찾기[딥디르비 전직](1)
我去把貓咪帶來	I'll bring you a cat	고양이를 데려 오겠다고 한다
尋找模特兒[雕刻師轉職](2)	Finding the Model [Dievdirbys Advancement] (2)	모델 찾기[딥디르비 전직](2)
我會幫你尋找父親的蹤跡	I'll check for traces of your father	아버지의 행적을 알아봐주겠다고 한다
尋找模特兒[雕刻師轉職](3)	Finding the Model [Dievdirbys Advancement] (3)	모델 찾기[딥디르비 전직](3)
去捉貓咪吧	Let's go catch a cat	고양이를 잡으러 가자
引誘中/#SITGROPESET2/2/TRACK_BEFORE/None	Luring/#SITGROPESET2/2/TRACK_BEFORE/None	유인 중/#SITGROPESET2/2/TRACK_BEFORE/None
太陽照射之處[烈焰法師轉職](1)	Where the Sun Shines [Pyromancer Advancement] (1)	태양이 비출 자리[파이로맨서 전직](1)
我要進行	I'll do it	하겠다고 한다
太陽照射之處[烈焰法師轉職](2)	Where the Sun Shines [Pyromancer Advancement] (2)	태양이 비출 자리[파이로맨서 전직](2)
寒鐵的奧秘[寒冰法師轉職]	Mystery of Cold Iron [Cryomancer Advancement]	한철의 신비[크리오맨서 전직]
我接受條件	I accept the conditions	조건을 수락한다
佩迪米安的守護者[法師轉職](1)	Guardian of Fedimian [Wizard Advancement] (1)	페디미안의 수호자[위저드 전직](1)
為了魔法我什麼都做	I'll do anything for magic	마법을 위해서라면 뭐든 하겠다고 한다
我以後再來	I'll come back later	나중에 다시 찾아 온다
佩迪米安的守護者[法師轉職](2)	Guardian of Fedimian [Wizard Advancement] (2)	페디미안의 수호자[위저드 전직](2)
治療的使命[牧師轉職]	Vocation of Treatment [Cleric Advancement]	치유의 사명[클레릭 전직]
我會治療人們	I will treat the people	사람들을 치료해주겠다고 한다
魔法的任務[巫師轉職]	Assignment of Magic [Sorcerer Advancement]	마법의 과제[소서러 전직]
答應和大師對決	Accept the duel with the Master	마스터와 대련을 받아들인다
逃避對決	Avoid the duel	대련을 피한다
實戰證明[死靈法師轉職]	Prove You Can Actually Fight [Necromancer Advancement]	실전 증명[네크로맨서 전직]
大自然的鍛鍊[德魯伊轉職]	Training of Great Nature [Druid Advancement]	대자연의 단련[드루이드 전직]
我會進行對決	I will take on the duel	대련하겠다고 한다
生存的教誨[野蠻人轉職]	Lessons of Survival [Barbarian Advancement]	생존의 가르침[바바리안 전직]
連結[鎖鏈法師轉職]	Connection [Linker Advancement]	연결[링커 전직]
只談弓[獵人轉職]	Talk with the Bow [Hunter Advancement]	활로만 말한다[헌터 전직]
和大師對決	Duel with the Master	마스터와 대련하도록 한다
自由與勇氣[高地戰士轉職]	Freedom and Courage [Highlander Advancement]	자유와 용기[하이랜더 전직]
我要證明我的能力	I will prove my abilities	실력을 증명하겠다고 한다
好像很危險	That sounds dangerous	위험할 것 같다고 한다
證明你是盾牌的主人[輕裝步兵轉職]	Prove You are the Owner of the Shield [Peltasta Advancement]	방패의 주인 증명[펠타스타 전직]
我會證明	I will prove it	증명하겠다고 한다
堅定的信仰[聖火祭司轉職]	Unshakable Faith [Krivis Advancement]	부동의 신앙심[크리비 전직]
我要透過對決得到肯定	I'll prove myself through a duel	대련으로 인정 받겠다고 한다
培養信仰[聖水祭司轉職]	Training for Holiness [Priest Advancement]	신성을 향한 단련[프리스트 전직]
刀刃上的考驗[劍士轉職]	Test of the Blades [Swordsman Advancement]	칼날 위의 시험[소드맨 전직]
我會消滅米諾牛頭怪	I will defeat the Minotaur	미노타우로스를 처치하겠다고 한다
阿爾科的考驗[百夫長轉職]	Alcor's Trial [Centurion Advancement]	알코어의 시련[센츄리온 전직]
靈魂的對決[聖者轉職]	Duel of the Soul [Sadhu Advancement]	영혼의 대련[사두 전직]
你是裝蹄師還是禮儀師[刀騎兵轉職]	Farrier and Funeral [Hackapell Advancement]	장제사냐 장례사냐[하카펠 전직]
我接受對決	I'll accept the duel	대련을 받아들이겠다고 한다
風的通行儀式[巫蠱師轉職]	Passage Ritual of the Wind [Wugushi Advancement]	바람의 통과의례[무고사 전직]
最強的攻擊是最強的防禦[圓盾劍士轉職]	The Best Offense is a Good Defense [Rodelero Advancement]	최선의 공격은 최고의 방어[로델레로 전직]
對劍的覺悟[侍從轉職]	Determination of the Sword [Squire Advancement]	검을 대하는 각오[스콰이어 전직]
接受對決申請	I'll accept the duel	대련 신청을 받아들인다
魔法師留下的知識[奇術師轉職]	Knowledge of the Wizard [Thaumaturge Advancement]	마법사의 남겨진 지식[쏘마터지 전직]
請問是什麼委託？	What is the favor?	부탁이 무엇인지 물어보자
成為魔法師的方法[元素使轉職]	The way to become a Magician [Elementalist Advancement]	마법사가 되는 방법[엘레멘탈리스트 전직]
林卡伊雷的認可[斥候轉職]	Recognition of Rimgaile [Scout Advancement] 	림가일레의 인정[스카우트 전직]
接受大師的對決申請	Accept the duel with the Master	마스터의 대련 신청을 받아들인다
為女神敞開的路[聖殿十字軍轉職]	Road of the Goddess [Paladin Advancement]	여신을 위하는 길[팔라딘 전직]
洞察者[鐵甲騎兵轉職]	Looking Through [Cataphract Advancement]	꿰뚫는 자[캐터프랙트 전직]
我會展現我的能力	I will show you my skills	실력을 보여주겠다고 한다
成為矚目的焦點[劍士轉職]	The Spotlight [Swordsman Advancement]	관심을 한 몸에[소드맨 전직]
為了百姓與盾牌之劍[高地戰士轉職](1)	Sword for the People and Shield [Highlander Advancement](1)	국민과 방패를 위한 검[하이랜더 전직](1)
我要幫助輕裝步兵大師	I'll help the Peltasta Master	펠타스타 마스터를 돕겠다고 한다
為了百姓與盾牌之劍[高地戰士轉職](2)	Sword for the People and Shield [Highlander Advancement](2)	국민과 방패를 위한 검[하이랜더 전직](2)
我要幫助騎士團長烏斯卡	I'll help Knight Commander Uska	기사단장 우스카를 돕겠다고 한다
為了百姓與盾牌之劍[高地戰士轉職](3)	Sword for the People and Shield [Highlander Advancement](3)	국민과 방패를 위한 검[하이랜더 전직](3)
我要前往水晶礦山2層	I'll go to Crystal Mine 2F	수정광산 2층으로 가 보겠다고 한다
為了百姓與盾牌之劍[高地戰士轉職](4)	Sword for the People and Shield [Highlander Advancement](4)	국민과 방패를 위한 검[하이랜더 전직](4)
我要去找高地戰士大師	I'll return to the Highlander Master	하이랜더 마스터에게 돌아가 보겠다고 한다
我待會再來	I'll be back after a while	잠시 후에 다시 오겠다고 한다
飛禽的干擾[輕裝步兵轉職](1)	Disturbance of the Winged Beast [Peltasta Advancement] (1)	날짐승의 방해[펠타스타 전직](1)
我接受委託	I accept the request	의뢰를 받아들인다고 한다
飛禽的干擾[輕裝步兵轉職](2)	Disturbance of the Winged Beast [Peltasta Advancement] (2)	날짐승의 방해[펠타스타 전직](2)
我去找造箭者大師	I'll go find the Fletcher Master	플레쳐 마스터를 찾아가겠다고 한다
飛禽的干擾[輕裝步兵轉職](3)	Disturbance of the Winged Beast [Peltasta Advancement] (3)	날짐승의 방해[펠타스타 전직](3)
沒有其他方法嗎？	Is there any other way?	그래도 어떻게 안되겠냐고 하소연해본다
放棄	Give up	포기한다
飛禽的干擾[輕裝步兵轉職](4)	Disturbance of the Winged Beast [Peltasta Advancement] (4)	날짐승의 방해[펠타스타 전직](4)
我回去找輕裝步兵大師	I'll go back to the Peltasta Master	펠타스타 마스터에게 돌아가 보겠다고 한다
登陸的海賊[海賊轉職]	Pirate on Land [Corsair Advancement]	육지로 나온 해적[커세어 전직]
我會把物品找回來	I'll get everything back	물건을 되찾아 오겠다고 한다
劍與盾之牆[圓盾劍士轉職]	Wall of Sword and Shield [Rodelero Advancement]	검과 방패의 벽[로델레로 전직]
答應和大師對決	Accept the duel with the Master	마스터와의 대련을 받아들인다
第一支箭[弓箭手轉職](1)	The First Arrow [Archer Advancement] (1)	첫 번째 화살[아처 전직](1)
我要去找造箭者大師	I'll go to the Fletcher Master	플레쳐 마스터에게 가보겠다고 한다
第一支箭[弓箭手轉職](2)	The First Arrow [Archer Advancement] (2)	첫 번째 화살[아처 전직](2)
第一支箭[弓箭手轉職](3)	The First Arrow [Archer Advancement] (3)	첫 번째 화살[아처 전직](3)
我回去找弓箭手大師	I'll return to the Archer Master	아처 마스터에게 돌아가 보겠다고 한다
我待會再去	I'll go in a while	조금만 더 있다 간다고 한다
影子的蹤跡[遊俠轉職]	Traces of the Shadow [Ranger Advancement]	그림자의 발자취[레인저 전직]
我接受委託	Accept the request	의뢰를 받아 들이겠다고 한다
預防危機[工兵轉職]	Preparations for the Crisis [Sapper Advancement]	위기예습[새퍼 전직]
發出聲音的樹木[造箭者轉職]	Sound of the Wood [Fletcher Advancement]	소리나는 나무[플레쳐 전직]
怎樣才能取得？	How can I get that?	어떻게 하면 구할 수 있을지 물어본다
狩獵的法則[獵人轉職]	Hunting Standards [Hunter Advancement]	사냥의 정석[헌터 전직]
日用猛毒[巫蠱師轉職]	Poisons to Use [Wugushi Advancement]	일용할 맹독[무고사 전직]
我去收集毒	I will collect the poison	독을 모아 오겠다고 한다
在掌心之中[斥候轉職]	In the Palm of the Hand [Scout Advancement]	손바닥 안[스카우트 전직]
尋找傳說[弩箭手轉職]	In Search of the Legend [Quarrel Shooter Advancement]	전설을 찾아서[쿼렐슈터 전직]
我去把拓印帶回來	I'll rub a copy	탁본을 떠 오겠다고 한다
陣風[流氓轉職]	A Gust [Rogue Advancement]	한바탕[로그 전직]
接受考驗	I'll accept the test	시험을 받아들인다
能力證明[重裝步兵轉職]	Proving Skills [Hoplite Advancement]	능력증명[하플라이트 전직]
資格證明[野蠻人轉職]	Proving Qualification [Barbarian Advancement]	자격증명[바바리안 전직]
我先消滅耶庫再回來	I will defeat Yekub first	예쿱을 먼저 처치하고 오겠다고 한다
大收穫[侍從轉職]	Big Catch [Squire Advancement]	월척[스콰이어 전직]
我練習後再來	I'll be back after practice	연습해 오겠다고 한다
隊形的中心[百夫長轉職]	Center of the Formation [Centurion Advancement]	대형의 중심[센츄리온 전직]
瞄準[弓箭手轉職]	Aim [Archer Advancement]	겨냥[아처 전직]
我接受考驗	I'll accept the test	시험을 받아들이겠다고 한다
百發百中[遊俠轉職]	100 Shots 100 Hits [Ranger Advancement]	백발백중[레인저 전직]
我去獵捕地心蟲王	I'll catch the Reaverpede	리버피드를 잡겠다고 한다
顏面掃地[弩箭手轉職]	Lost Dignity [Quarrel Shooter Advancement]	구겨진 체면[쿼렐슈터 전직]
我去消滅牠	I'll go and defeat them	해치우고 오겠다고 한다
供應陷阱零件[工兵轉職]	Supply the Trap Parts [Sapper Advancement]	함정부품 조달[새퍼 전직]
懶惰的對手[獵人轉職]	State of Laziness [Hunter Advancement]	게으른 상대[헌터 전직]
我願意獵捕米諾牛頭怪	I'll hunt the Minotaur	미노타우로스를 사냥하겠다고 한다
敏捷的身手[巫蠱師轉職]	Swiftness [Wugushi Advancement]	날렵한 솜씨[무고사 전직]
要消滅拉查托特	I will defeat Rajatoad	라자토드를 처치하겠다고 한다
尾巴長就會被捉住[斥候轉職]	One Will Get Caught If One's Tail Is Too Long [Scout Advancement]	꼬리가 길면 잡힌다[스카우트 전직]
給我能夠證明實力的任務	Give me a mission to prove my abilities	실력을 증명할 수 있는 과제를 달라고 한다
我下次再來	I'll come back later	다음에 다시 찾아 오겠다고 한다
踩尾巴[流氓轉職]	Step on Tail [Rogue Advancement]	꼬리밟기[로그 전직]
接受對決	I'll accept the duel	대련을 받아 들인다
拒絕對決	I decline your duel request	대련을 거절한다
易燃石[造箭者轉職]	Flammable Stone [Fletcher Advancement]	잘 타는 돌맹이[플레쳐 전직]
會帶來易燃石	I will bring well burnable stones	잘 타는 돌멩이를 구해 오겠다고 한다
徵集挑戰者[黑暗騎兵轉職]	Recruiting Challenger [Schwartzer Reiter Advancement]	도전자 모집[슈바르츠라이터 전직]
接受決鬥邀請	Accept the duel	결투를 받아 들인다
治療藥材[牧師轉職]	Materials for Medicine [Cleric Advancement]	치유약 재료[클레릭 전직]
詢問該怎麼做。	What should I do?	어떻게 하면 되는지 묻는다
我再考慮一下	I need more time to think	좀 더 생각해 보겠다고 한다
採集野花花蕊中/#SITGROPESET/3/TRACK_BEFORE/None	Collecting Wild Flower Stamen/#SITGROPESET/3/TRACK_BEFORE/None	야생화 꽃술 채집 중/#SITGROPESET/3/TRACK_BEFORE/None
回收聖物[聖火祭司轉職]	Retrieve Holy Offer [Krivis Advancement]	성물 회수[크리비 전직]
我願意到市中心街道找回聖物	I'll get back the Holy offering from the town center	중심시가에서 성물을 되찾아 오겠다고 한다
淨化邪惡氣息[聖水祭司轉職]	Purify Evil Aura [Priest Advancement]	사악한 기운 정화[프리스트 전직]
我願意驅魔	I will defeat them	퇴마하겠다고 한다
咒術人偶[邪靈祭司轉職]	Shaman Doll [Bokor Advancement]	주술 인형[보코르 전직]
我願意取回精髓	I will get the essence	정수를 구해 오겠다고 한다
尋找材料[雕刻師轉職]	Material Search [Dievdirbys Advancement]	재료 찾기[딥디르비 전직]
我願意幫忙取回材料	I'll get the materials for you	재료를 구해다 주겠다고 한다
睡眠障礙的原因[聖者 轉職]	The cause of Insomnia [Sadhu Advancement]	수면 장애의 원인[사두 전직]
我願意幫忙	I'll help you	돕겠다고 한다
信仰證明[聖殿十字軍轉職]	Proving Faith [Paladin Advancement]	신앙 증명[팔라딘 전직]
